key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
START,INICIAR,START,ALUSTA,START,EMPEZAR,EMPEZAR,DÉMARRER,INIZIA,スタート,시작,START,INICIAR,НАЧАТЬ,BAŞLA,ПОЧАТИ ГРУ,开始,開始
CONTROLLER,CONTROLE,STEUERUNG,RIISTVARA,CONTROLLER,CONTROL,MANDO,MANETTE,CONTROLLER,コントローラー,컨트롤러,KONTROLER,CONTROLE,КОНТРОЛЛЕР,KONTROLLER,КОНТРОЛЕР,控制器,控制器
DRILL,VOCÊ SABE O QUE FAZER.,"DU WEISST, WIE ES LÄUFT.","TEAD KÜLL, JUBA.",YOU KNOW THE DRILL.,YA SABES CÓMO VA ESTO.,YA SABES CÓMO VA ESTO.,TU SAIS COMMENT ÇA MARCHE.,SAI GIÀ COME FUNZIONA.,もうわかってるだろ,방법은 잘 알겠지.,"WIESZ, CO MASZ ROBIĆ.",TU SABES O QUE FAZER.,ПРАВИЛА ТЫ ЗНАЕШЬ...,NE YAPACAĞINI BİLİYORSUN.,ПРАВИЛА ВИ ЗНАЄТЕ.,你知道该怎么做,你知道該如何做
ESTONIA,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI
CAREFUL,TOME CUIDADO...,VORSICHTIG JETZT ...,"OLE ETTEVAATLIK, NÜÜD ...","CAREFUL, NOW ...",TEN MUCHO CUIDADO AHORA...,TEN MUCHO CUIDADO AHORA...,ATTENTION…,ATTENZIONE...,もう後はないぞ……,이제 조심해...,TERAZ OSTROŻNIE...,CUIDADO...,ОСТОРОЖНЕЕ...,"DİKKATLİ OL, ŞİMDİ...",ОБЕРЕЖНІШЕ...,现在小心……,現在當心……
UNFORTUNATE,QUE PENA...,WIE BEDAUERLICH ...,"APPI, KUI KURB ...",HOW UNFORTUNATE ...,QUÉ PENA ...,QUÉ PENA...,QUEL DOMMAGE…,CHE SFORTUNA...,残念だったな……,운도 지지리 없지..,CO ZA PECH...,QUE PENA ...,НЕ ПОВЕЗЛО...,NE ŞANSIZLIK...,ЯК ПРИКРО...,真遗憾……,真遺憾……
PHONE DESC,"UMA VOZ MISTERIOSA
TE CONTA SOBRE O FUTURO.","EINE GEHEIMNISVOLLE STIMME GIBT
DIR EINEN EINBLICK IN DIE ZUKUNFT.","TUNDMATU HÄÄL ANNAB
SULLE TULEVIKUST NÕU.","A MYSTERIOUS VOICE GIVES
YOU INSIGHT FROM THE FUTURE.","UNA VOZ MISTERIOSA
TE DA INFORMACIÓN SOBRE EL FUTURO.","UNA VOZ MISTERIOSA
TE DA INFORMACIÓN SOBRE EL FUTURO.","UNE VOIX MYSTÉRIEUSE VOUS DONNE
DES INFORMATIONS SUR LE FUTUR.","UNA VOCE MISTERIOSA TI DÀ
DELLE INFORMAZIONI PROVENIENTI DAL FUTURO.",謎の声が未来予知,"모르는 목소리가 미래에서
 정보를 전해줍니다.","TAJEMNICZY GŁOS
PRZEPOWIADA CI PRZYSZŁOŚĆ.","UMA VOZ MISTERIOSA
CONTA-TE SOBRE O FUTURO.",ТАИНСТВЕННЫЙ ГОЛОС ОТКРОЕТ ЗАВЕСУ БУДУЩЕГО,"BİR GİZEMLİ SES
GELECEKTEN SANA ÖNSEZİ VERİR.","НЕЗНАЙОМИЙ ГОЛОС 
ОПИШЕ ВАШЕ МАЙБУТНЄ.","一个神秘的声音
 让你窥探未来","一個神秘的聲音
 讓你窺探未來"
YOURE LUCKY,"TEM SORTE QUE TE DEIXARAM
UMA CARGA!","DU HAST GLÜCK, DASS DU
NOCH EINE LADUNG HAST!","SUL VEDAS, ET TA SULLE
SÄRTSU JÄTTIS!","YOU'RE LUCKY IT LEFT YOU
WITH A CHARGE!","¡TIENES SUERTE DE QUE TE DEJARA
CON UNA CARGA!","¡TIENES SUERTE DE QUE TE DEJARA
UNA CARGA!","QUELLE CHANCE, IL T'A LAISSÉ
UNE CHARGE !","CHE FORNUTA, TI È RIMASTA UNA CARICA!",タマがあるとはツイてんな！,"돈만 받고 보내 준 걸
 감사하게 생각하시죠!","CAŁE SZCZĘŚCIE,
MASZ JESZCZE TROCHĘ ZDROWIA!","TENS SORTE QUE TE DEIXARAM
COM UMA CARGA!","ПОВЕЗЛО, ЧТО
ОСТАЛСЯ РАЗРЯД!",SANA YAŞAMA FIRSATI VERDİĞİ İÇİN ŞANSLISIN!,"ВАМ ПОЩАСТИЛО, ЩО У ВАС 
ЗАЛИШИВСЯ ЗАРЯД!","你很幸运，
还剩一口气！","你很幸運，
還剩一口氣！"
AUDIO/VIDEO,ÁUDIO/VÍDEO,AUDIO/VIDEO,HELI/EKRAAN,AUDIO/VIDEO,SONIDO/GRÁFICOS,SONIDO/GRÁFICOS,AUDIO/VIDÉO,AUDIO/VIDEO,オーディオ / ディスプレイ,오디오/비디오,DŹWIĘK/GRAFIKA,ÁUDIO/VÍDEO,ЗВУК/ВИДЕО,SES/GÖRÜNTÜ,ЗВУК/ВІДЕО,音频/视频,音訊/視訊
HANDSAW DESC,A ESPINGARDA CAUSA 2 DE DANO.,DIE SCHROTFLINTE VERURSACHT 2 SCHADEN.,PUMPPÜSS TEEB TOPELT HAIGET.,SHOTGUN DEALS 2 DAMAGE.,LA ESCOPETA HACE 2 DE DAÑO.,LA ESCOPETA HACE 2 DE DAÑO.,LE FUSIL INFLIGE 2 CHARGES DE DÉGÂTS.,IL FUCILE INFLIGGE 2 DANNI.,実包 2 ダメージ,샷건이 2배의 대미지를 줍니다.,STRZELBA ZADAJE 2 PKT. OBRAŻEŃ.,A ESPINGARDA CAUSA 2 DE DANO.,ДРОБОВИК НАНОСИТ 2 ЕД. УРОНА.,POMPALI TÜFEK 2 HASAR VERİR.,ДРОБОВИК НАНОСИТЬ 2 ОД. ШКОДИ.,霰弹枪造成 2 点伤害,霰彈槍造成 2 點傷害
