key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
MAGNIFIER,LUPA,LUPE,LUUP,MAGNIFYING GLASS,LUPA,LUPA,LOUPE,LENTE D'INGRANDIMENTO,虫メガネ,돋보기,LUPA,LUPA,ЛУПА,BÜYÜTEÇ,ЛУПА,放大镜,放大鏡
SHELLS EJECTED,CARTUCHOS EJETADOS,PATRONEN AUSGEWORFEN,HÜLSSE HEIDETUD,SHELLS EJECTED,CARTUCHOS EXPULSADOS,CARTUCHOS EXPULSADOS,CARTOUCHES ÉJECTÉES,PROIETTILI ESPULSI,排莢数,탄피 배출 수,WYRZUCONE NABOJE,CARTUCHOS EJETADOS,ИЗВЛЕЧЕНО ПАТРОНОВ ...,ÇIKARILAN FİŞEK:,ВИЙНЯТО ПАТРОНІВ,弹出的子弹,彈出的子彈
MP_LOBBY HOST TABLE,ORGANIZAR MESA,TISCH HOSTEN,ALGATA LAUD,HOST TABLE,SER ANFITRIÓN DE LA MESA,SER ANFITRIÓN DE MESA,HÉBERGER UNE TABLE,CREA TAVOLO,テーブルをホスト,호스트 테이블,STÓŁ HOSTA,MESA DO ANFITRIÃO,СОЗДАТЬ СТОЛ,YENİ MASA KUR,СТВОРИТИ СТІЛ,主持本桌,創建房間
MP_UI NUM OF LIVES,NÚMERO DE MUNIÇÕES REAIS:,ANZAHL SCHARFE MUNITION:,TERAVAID:,NUMBER OF LIVES:,CANTIDAD DE BALAS CARGADAS:,NÚMERO DE BALAS CARGADAS:,NOMBRE DE CARTOUCHES RÉELLES :,NUMERO DI PROIETTILI CARICHI:,実弾数：,실탄 개수:,LICZBA OSTRYCH NABOJÓW:,NÚMERO DE MUNIÇÕES REAIS:,КОЛ-ВО БОЕВЫХ:,GERÇEK FİŞEK SAYISI:,КІЛЬКІСТЬ БОЙОВИХ:,实弹数：,實彈數：
MP_UI SHELL SEQUENCE,SEQUÊNCIA,VERTEILUNG,JÄRJESTUS,SEQUENCE,SECUENCIA,SECUENCIA,SÉQUENCE,SEQUENZA,シーケンス,순서,SEKWENCJA,SEQUÊNCIA,ПОСЛЕДОВАТЕЛЬНОСТЬ,FİŞEK DİZİLİMİ,ПОСЛІДОВНІСТЬ,顺序,子彈次序
MP_FREE LOOK REBIND,CÂMERA LIVRE,FREIE KAMERA,VABA VAATEPILT,FREE LOOK,CÁMARA LIBRE,CÁMARA LIBRE,REGARDER LIBREMENT,TELECAMERA LIBERA,フリーカメラ,자유 시점,WOLNA KAMERA,CÂMARA LIVRE,СВОБОДНЫЙ ОБЗОР,SERBEST BAKIŞ,ВІЛЬНА КАМЕРА,自由视角,自由視角
RESTART,REINICIAR,NEUSTART,ALUSTA UUESTI,RESTART,VOLVER A EMPEZAR,VOLVER A EMPEZAR,REDÉMARRER,RICOMINCIA,やり直し,다시 시작,PONOWNY START,REINICIAR,ЗАНОВО,YENİDEN BAŞLA,ЗАНОВО,重新开始,重新開始
JAPANESE,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
NAVIGATE RIGHT,MOVER PARA A DIREITA,NACH RECHTS BEWEGEN,LIIGU PAREMALE,MOVE RIGHT,DERECHA,DERECHA,DROITE,VAI A DESTRA,右,오른쪽 이동,RUCH W PRAWO,MOVER PARA A DIREITA,ДВИЖЕНИЕ ВПРАВО,SAĞA GİT,ВПРАВО,向右移动,向右移動
MP_UI EXIT CONFIRMATION,TEM CERTEZA QUE DESEJA DESCONECTAR?,VERBINDUNG WIRKLICH TRENNEN?,KAS LAHKUME?,ARE YOU SURE YOU WANT TO DISCONNECT?,¿DE VERDAD QUIERES DESCONECTARTE?,¿SEGURO QUE QUIERES DESCONECTARTE?,VOULEZ-VOUS VRAIMENT VOUS DÉCONNECTER ?,SICURO DI VOLERTI DISCONNETTERE?,本当に退室しますか？,정말로 연결을 끊으시겠습니까?,CZY NA PEWNO CHCESZ ROZŁĄCZYĆ?,TENS A CERTEZA DE QUE QUERES DESLIGAR?,ВЫ ДЕЙСТВИТЕЛЬНО ХОТИТЕ ПОКИНУТЬ ИГРУ?,AYRILMAK İSTEDİĞİNE EMİN MİSİN?,"ВИ ПЕВНІ, ЩО ХОЧЕТЕ ВІД'ЄДНАТИСЯ?",确定断开连接吗？,確定要中斷連線嗎？
BLANKROUNDS,%s MUNIÇÕES DE FESTIM.,%s PLATZPATRONEN.,%s TÜHJA.,%s BLANKS.,%s BALAS DE FOGUEO.,%s BALAS DE FOGUEO.,%s CARTOUCHE INERTES.,%s PROIETTILI A SALVE.,空包 %s,%s 공포탄이야.,%s ŚLEPE NABOJE.,%s MUNIÇÕES SEM BALA,%s ХОЛОСТЫХ.,%s KURUSIKI.,%s ХОЛОСТИХ.,%s 空包弹。,%s 空包彈。
MP_JAMMER,INTERCEPTOR,STÖRSENDER,SEGAJA,JAMMER,INHIBIDOR,INHIBIDOR,BROUILLEUR,JAMMER,ジャマー,재머,ZAKŁÓCACZ,BLOQUEADOR,ГЛУШИТЕЛЬ,ENGELLEYİCİ,ГЛУШИЛКА,干扰器,干擾器
